,City Name,Lat,Lng,Max_Temp,Cloudiness,Humidity,Wind_Speed
339,Qandala,11.47,49.87,70.81,0,81,3.4
340,Nikel,69.41,30.21,26.6,40,79,10.29
341,Paris,48.86,2.35,55.4,0,58,5.82
342,Amapa,15.09,-87.97,96.8,20,32,5.82
343,Erdenet,49.03,104.04,22.57,80,81,2.62
344,Zhigansk,66.77,123.37,21.31,48,82,6.98
345,Barguzin,53.62,109.63,1.6,0,62,2.06
346,Catuday,16.29,119.81,79.9,0,98,4.07
347,Najran,17.54,44.22,82.4,75,39,17.22
348,Banamba,13.55,-7.45,84.76,0,27,8.66
349,Grand,48.39,5.49,51.01,0,93,9.78
350,Prainha,-1.8,-53.48,80.35,56,88,5.41
351,Benguela,-12.58,13.4,78.55,8,100,4.97
352,Acajutla,13.59,-89.83,82.0,56,77,5.01
353,Kolvereid,64.86,11.6,39.2,75,60,9.17
354,Anqing,30.51,117.04,60.19,0,85,1.61
355,Winston-Salem,36.1,-80.24,73.99,90,82,9.17
356,Nueva,43.44,-4.94,55.0,48,87,2.73
357,Ghanaur,30.33,76.61,72.25,44,62,6.98
358,Husavik,50.56,-96.99,46.0,88,98,5.01
359,Jawhar,19.91,73.23,64.96,12,88,2.95
360,Nemuro,43.32,145.57,33.73,0,98,14.81
361,Inhambane,-23.87,35.38,78.1,88,91,10.22
362,Charyshskoye,51.4,83.56,18.16,0,72,4.07
363,Elizabeth,40.66,-74.21,72.0,1,39,13.87
364,Marondera,-18.19,31.55,63.52,44,65,3.06
365,Praia,-20.25,-43.81,84.2,40,54,6.93
366,Ballina,54.11,-9.15,51.8,40,81,11.41
367,Dorado,18.46,-66.27,84.99,40,65,16.11
368,Klaksvik,62.23,-6.59,39.2,64,95,14.99
369,Kutum,14.2,24.66,66.4,0,24,7.76
370,Venezuela,21.74,-78.8,85.93,68,64,8.66
371,Puerto,8.5,124.75,77.0,20,90,5.99
372,Ranong,9.96,98.62,81.88,0,100,5.41
373,Lexington,38.05,-84.5,68.0,90,88,6.93
374,Reyes,-14.3,-67.34,84.2,0,51,3.18
375,Rio,43.45,-89.24,60.01,90,93,8.05
376,Acapulco,16.86,-99.88,82.4,40,74,11.41
377,Jardim,-21.48,-56.15,74.41,0,58,7.76
378,Padang,-0.92,100.36,81.43,56,100,6.64
379,Chekmagush,55.14,54.65,36.16,92,93,10.22
380,Samarai,-10.62,150.67,76.48,88,100,1.95
381,Ulaanbaatar,47.92,106.92,30.2,75,58,4.47
382,Lethem,3.38,-59.8,95.38,20,35,15.26
383,Cabo,35.43,-88.47,68.0,90,93,9.17
384,Hoquiam,46.98,-123.89,55.0,90,87,9.17
385,Chuguyevka,44.17,133.87,27.43,76,79,2.28
386,Mutsu,41.29,141.2,36.0,0,75,3.0
387,Lobito,-12.35,13.55,71.35,0,95,1.05
388,Chiredzi,-21.05,31.67,75.76,68,68,6.08
389,Nyeri,-0.42,36.95,60.1,32,88,2.84
390,Kargasok,59.06,80.87,23.02,24,89,3.96
391,Kota,25.17,75.86,69.73,0,62,2.84
392,Banda,25.47,80.33,72.43,36,69,1.16
393,Tiarei,-17.53,-149.33,87.8,20,66,4.7
394,Sur,22.57,59.53,82.15,8,78,3.74
